Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Худяк,Дмитро,Вʼячеславович,Чоловіча,1958-11-28,Клоун,хутір Турка,"провулок Олександра Кутузакія, буд. 9, Конотоп, 36633",+380 (37) 709-12-29,pnazarenko@example.net
Бабиченко,Богодар,Назарович,Чоловіча,1950-02-08,Прокурор,хутір Соснівка,"вулиця Ярмарковий, буд. 9 кв. 2, Енергодар, 66091",+380 14 643-10-94,semen21@example.net
Парасюк,Семен,Антонович,Чоловіча,1965-08-19,Астроном,хутір Костопіль,"площа Перша, буд. 30, Корсунь-Шевченківський, 28711",+380 59 394 69 98,oleksashvaika@example.net
Чередник,Яків,Іванович,Чоловіча,1992-09-04,Бізнесмен,селище Кролевець,"проспект Генерала Алмазова, буд. 785, Олександрія, 35102",171 37 71,ikhomenko@example.org
Лисенко,Зиновій,Яремович,Чоловіча,1944-12-25,Бухгалтер,селище Судак,"вулиця Лінія 30-та, буд. 461, Суходільськ, 60325",097 068-04-60,bohdansyrotenko@example.org
Цюпа,Геннадій,Мирославович,Чоловіча,2008-03-07,Епідеміолог,селище Жовква,"набережна 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 73 кв. 856, Заводське, 62855",756-72-05,ustym46@example.org
Деряжний,Левко,Костянтинович,Чоловіча,1980-03-20,Реабілітолог,село Вільнянськ,"набережна Новоукраїнський, буд. 1 кв. 08, Снятин, 31395",+380 (17) 053-49-98,hordiichernenko@example.com
Усик,Панас,Віталійович,Чоловіча,1954-12-30,Науковець,місто Підгородне,"проспект Східний 1-й, буд. 145, Алмазна, 45398",020 207 11 48,nkozachenko@example.net
Філіпенко,Алевтин,Валентинович,Чоловіча,1965-05-06,Музикант,місто Докучаєвськ,"узвіз Пересипська 5-та, буд. 845 кв. 73, Ровеньки, 87655",+380 87 461-77-34,spas38@example.org
Царенко,Амвросій,Григорійович,Чоловіча,1950-05-01,Машиніст,селище Кам'янське,"провулок Павлова, буд. 35 кв. 33, Вилкове, 35039",080 802-14-86,fokhrymovych@example.org
Чміль,Едуард,Гордійович,Чоловіча,1956-02-20,Кінокритик,хутір Новоукраїнка,"набережна Чигиринська, буд. 6, Бар, 58822",+380 (81) 333-22-52,deisunodarka@example.net
Ковпак,Онисим,Геннадійович,Чоловіча,1947-12-20,Ріелтор,селище Пирятин,"шосе Об'їзна дорога, буд. 17, Кальміуське, 70441",+380 98 014 77 54,satsiuksvitlana@example.org
Андрієнко,Аврелій,Тарасович,Чоловіча,1993-12-10,Соціолог,місто Сокиряни,"набережна Демократична, буд. 2, Калинівка, 14895",934 68 99,zlatoslava45@example.org
Карпа,Тимофій,Ігнатович,Чоловіча,1946-02-09,Кінолог,хутір Херсон,"узвіз Ремонтна, буд. 90 кв. 517, Полтава, 40996",+380 11 841 15 53,varvaraokhrymovych@example.com
Ґоляш,Остап,Демидович,Чоловіча,1970-07-04,Машиніст,село Бердянськ,"набережна Професора Коровицького, буд. 301 кв. 8, Березне, 45711",+380 15 522-08-56,orlykhalyna@example.org
Балабан,Левко,Леопольдович,Чоловіча,1992-12-10,Бібліограф,село Мала Виска,"парк Сергія Уточкіна, буд. 7, Чигирин, 35714",853 84 16,niurchuk@example.net
Перепелиця,Веніямин,Вікторович,Чоловіча,2007-04-13,Золотар,місто Новодністровськ,"узвіз Шкодова гора, буд. 1 кв. 529, Любомль, 19487",+380 74 593 08 24,okseniiahavryliv@example.org
Височан,Орест,Яремович,Чоловіча,1986-01-24,Бібліотекар,селище Семенівка,"вулиця Палія Семена, буд. 10, Підгайці, 84381",257 13 44,udovychenkodemian@example.org
Архимович,Віктор,Богуславович,Чоловіча,1965-04-18,Інженер,село Білозерське,"парк Слов'янська, буд. 53 кв. 7, Ізмаїл, 06215",451 49 66,ishvaika@example.org
Чуйко,Стефан,Петрович,Чоловіча,1958-06-09,Перекладач,село Бучач,"набережна Парусна, буд. 7, Вараш, 93343",100 64 09,stefan55@example.org
Ґереґа,Дмитро,Станіславович,Чоловіча,1963-10-08,Медик,селище Боярка,"провулок Городня, буд. 68, Миколаїв, 01339",+380 96 388-61-93,kostiantyn89@example.com
Москаль,Пармен,Олесьович,Чоловіча,1970-04-01,Кухар,село Моршин,"проспект Миколи Леонтовича, буд. 849, Перемишляни, 87141",+380 41 295-19-07,vadamenko@example.org
Абрагамовський,Орест,Микитович,Чоловіча,2005-09-29,Бібліограф,селище Коростишів,"площа Ференца Ліста, буд. 79, Сіверськодонецьк, 45129",068 909-87-01,vernydubrostyslav@example.net
Деряжний,Герман,Владиславович,Чоловіча,1991-03-13,Ді-джей,хутір Новогродівка,"проспект Міцкевича, буд. 1 кв. 815, Донецьк, 82445",093 638 48 25,mykhailyna24@example.com
Вакарчук,Зорян,Пантелеймонович,Чоловіча,1955-01-22,Випробувач,село Благовіщенське,"набережна Олександра Тимошенка, буд. 149 кв. 5, Жовті Води, 97059",395-54-42,tesliaavhustyn@example.net
Баштан,Болеслав,Несторович,Чоловіча,1969-03-04,Промисловець,село Немирів,"узвіз Марсельська, буд. 8, Чорноморськ, 13824",762 70 51,babkoteodor@example.net
Абрагамовський,Руслан,Данилович,Чоловіча,1978-11-05,Бізнесмен,місто Ямпіль,"площа Наклонна, буд. 89, Дніпро, 61853",070 66 90,zarubamariana@example.com
Тягнибок,Теодор,Трохимович,Чоловіча,1989-10-03,Фермер,селище Вилкове,"проспект Сергія Ейзенштейна, буд. 8 кв. 386, Городня, 83586",+380 19 454-99-43,wonufriienko@example.com
Дзюба,Георгій,Вʼячеславович,Чоловіча,1950-02-19,Реставратор,селище Рогатин,"провулок Берегова, буд. 847 кв. 33, Добромиль, 16434",703-91-97,albinafomenko@example.net
Колодуб,Демʼян,Арсенович,Чоловіча,1960-04-10,Продюсер,село Кипуче,"площа Мельницька, буд. 1 кв. 66, Васильків, 85330",072 455 16 72,hryhorii07@example.net
Данильчук,Дмитро,Максимович,Чоловіча,1952-12-30,Гірник,хутір Устилуг,"набережна Ванний, буд. 32, Пирятин, 12538",+380 88 287-38-75,artem98@example.org
Матвієнко,Аврелій,Давидович,Чоловіча,1977-01-09,Ветеринар,місто Новоазовськ,"парк Приморська, буд. 9 кв. 071, Чорнобиль, 08062",246-76-40,feofanbaranyk@example.org
Ющенко,Олекса,Амвросійович,Чоловіча,1969-11-16,Кушнір,місто Городище,"сквер Новопланівська, буд. 395, Тернівка, 89307",+380 (81) 806-21-56,filipenkoliudmyla@example.com
Чуйко,Ігнат,Амвросійович,Чоловіча,1961-08-13,Паблік рилейшнз,місто Іловайськ,"набережна Михайла Божія, буд. 6 кв. 37, Тернівка, 83540",+380 28 805-70-69,danna46@example.net
Таран,Вадим,Аврелійович,Чоловіча,2005-11-02,Адвокат,селище Жмеринка,"проспект Івана Микитенка, буд. 778, Яремче, 64843",029-61-06,zhurbamarta@example.com
Яременко,Хома,Варфоломійович,Чоловіча,1951-08-12,Художник,хутір Брянка,"сквер Ювілейний 1-й, буд. 0 кв. 4, Бровари, 84527",697 75 74,panasnehoda@example.org
Дацюк,Григорій,Венедиктович,Чоловіча,1948-02-11,Архітектор,селище Южне,"вулиця Маячний, буд. 8 кв. 7, Апостолове, 31543",+380 94 511-60-29,khomademianiuk@example.net
Зінченко,Варфоломій,Єфремович,Чоловіча,1944-07-01,Диригент,місто Куп'янськ,"узвіз Грушева, буд. 07, Добромиль, 64457",071 582 11 71,svyrydenkoiefrem@example.com
